Title,Genre,Year,Score,Description
We Need to Talk About Kevin,"Drama, Mystery, Thriller",2011,7.5,"Kevin's mother struggles to love her strange child, despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined."
Trainwreck,"Comedy, Drama, Romance",2015,6.2,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
Before Midnight,"Drama, Romance",2013,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
American Made,"Action, Biography, Comedy",2017,7.2,"The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
The Gift,"Drama, Mystery, Thriller",2015,7.1,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.
Darkest Hour,"Biography, Drama, History",2017,7.4,"In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire."
Allied,"Action, Drama, Romance",2016,7.1,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
The Campaign,Comedy,2012,6.1,An incumbent Representative embroiled in personal scandal faces a no-holds-barred challenge from a naive newcomer funded by two unscrupulous billionaire lobbyist brothers.
"I, Tonya","Biography, Comedy, Drama",2017,7.5,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
Incendies,"Drama, Mystery, War",2010,8.2,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Scream 4,"Horror, Mystery",2011,6.2,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
This Is 40,"Comedy, Romance",2012,6.2,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
